stem,key,dtype,shape,sha256,num_nodes
ac97_ctrl_syn0_step0,edge_index,torch.int64,"(2, 25065)",83ce5aaeebbd54c5a875f9593e85e5fdf4d9d09c66f12debcee72dbe1a47b154,15940
ac97_ctrl_syn0_step0,node_id,list,,076b7d79c53f105218f57ba92c223b18747579d6387ef645078c86181f760d96,15940
ac97_ctrl_syn0_step0,node_type,torch.int64,"(15940,)",aec3590802c46bf9b079186fe88141a6cc7dca985c8982fb2714b2ae049f1dcb,15940
ac97_ctrl_syn0_step0,num_inverted_predecessors,torch.int64,"(15940,)",36647e85d6b245dec52eafc5d860f73f4a47a90cfcfbe6625490537d65cd9d91,15940
ac97_ctrl_syn0_step0,edge_type,torch.int64,"(25065,)",8e8fcd9ae4bb5d7ea447e01d5b91cd357f67e4755373f1caf23c30728c2e964b,15940
ac97_ctrl_syn0_step0,longest_path,torch.int64,(),5fd1b79ebdef9619a57916a3bfc264b54d37a792659b3693f8ab36ec3ebce448,15940
ac97_ctrl_syn0_step0,and_nodes,torch.int64,(),644cbb111f5a7a6388ff7c61faff3a732b396374f1df9969b4ccbaddd145ff78,15940
ac97_ctrl_syn0_step0,pi,torch.int64,(),1fe87b73d584aadc7f4339e0aaa2eb4b982ff1d7f5d7ff09e58c1e29550b48d7,15940
ac97_ctrl_syn0_step0,po,torch.int64,(),72dc09f100adbd6dafd8d8aa735ca81a200f08ac3990514b3415a083783666c1,15940
ac97_ctrl_syn0_step0,not_edges,torch.int64,(),71879fa5b5dcd46efa403ddf961b1d634773f92ca8c440919b66609278829826,15940
ac97_ctrl_syn0_step0,desName,list,,cb364ce5898c17a882a1b627b798dbf8bbf0dd9578a02a03e801b893b95a3aa3,15940
ac97_ctrl_syn0_step0,synVec,torch.int64,"(20,)",508dde4e08b6873fc5cdfb16dc032101004dd1f83921c8f9e5c2ed87d56de591,15940
ac97_ctrl_syn0_step0,synID,list,,d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,15940
ac97_ctrl_syn0_step0,stepID,list,,d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,15940
ac97_ctrl_syn1_step0,edge_index,torch.int64,"(2, 25065)",83ce5aaeebbd54c5a875f9593e85e5fdf4d9d09c66f12debcee72dbe1a47b154,15940
ac97_ctrl_syn1_step0,node_id,list,,076b7d79c53f105218f57ba92c223b18747579d6387ef645078c86181f760d96,15940
ac97_ctrl_syn1_step0,node_type,torch.int64,"(15940,)",aec3590802c46bf9b079186fe88141a6cc7dca985c8982fb2714b2ae049f1dcb,15940
ac97_ctrl_syn1_step0,num_inverted_predecessors,torch.int64,"(15940,)",36647e85d6b245dec52eafc5d860f73f4a47a90cfcfbe6625490537d65cd9d91,15940
ac97_ctrl_syn1_step0,edge_type,torch.int64,"(25065,)",8e8fcd9ae4bb5d7ea447e01d5b91cd357f67e4755373f1caf23c30728c2e964b,15940
ac97_ctrl_syn1_step0,longest_path,torch.int64,(),5fd1b79ebdef9619a57916a3bfc264b54d37a792659b3693f8ab36ec3ebce448,15940
ac97_ctrl_syn1_step0,and_nodes,torch.int64,(),644cbb111f5a7a6388ff7c61faff3a732b396374f1df9969b4ccbaddd145ff78,15940
ac97_ctrl_syn1_step0,pi,torch.int64,(),1fe87b73d584aadc7f4339e0aaa2eb4b982ff1d7f5d7ff09e58c1e29550b48d7,15940
ac97_ctrl_syn1_step0,po,torch.int64,(),72dc09f100adbd6dafd8d8aa735ca81a200f08ac3990514b3415a083783666c1,15940
ac97_ctrl_syn1_step0,not_edges,torch.int64,(),71879fa5b5dcd46efa403ddf961b1d634773f92ca8c440919b66609278829826,15940
ac97_ctrl_syn1_step0,desName,list,,cb364ce5898c17a882a1b627b798dbf8bbf0dd9578a02a03e801b893b95a3aa3,15940
ac97_ctrl_syn1_step0,synVec,torch.int64,"(20,)",2a6c35b5151e18feb09e0fcf073bff7cf3a85914149fddce97e15a30c9d69c9d,15940
